라나, 53, 141
차다, 78, 143
카자, 94, 165
마하, 96, 173
타자, 90, 144
하하, 79, 192
바바, 48, 142
차아, 70, 190
사자, 59, 189
카나, 43, 192
자파, 88, 188
나다, 71, 198
나하, 80, 190
라파, 79, 149
타파, 58, 152
자사, 85, 157
카타, 88, 197
바가, 84, 141
나나, 66, 172
가마, 96, 157
자아, 68, 170
마차, 95, 150
아바, 89, 189
바다, 79, 143
차파, 61, 173
나아, 99, 198
차카, 63, 155
마파, 81, 173
나바, 79, 185
라타, 59, 160
마하, 50, 175
파다, 66, 177
파바, 66, 165
라카, 94, 151
하타, 84, 178
타차, 68, 150
카마, 85, 148
사바, 83, 198
마파, 87, 149
자마, 72, 188
바나, 86, 161
마가, 63, 156
파카, 80, 164
사마, 70, 155
다차, 48, 153
파다, 94, 146
마카, 53, 162
다아, 83, 154
사가, 98, 158
아마, 56, 142
아아, 92, 189
사다, 56, 178
자라, 46, 167
가마, 58, 155
마가, 61, 192
카사, 77, 197
아하, 77, 192
자바, 71, 188
라가, 96, 143
마바, 58, 166
차아, 89, 197
마가, 78, 195
아카, 56, 165
나카, 54, 155
나하, 78, 152
라타, 42, 141
타아, 88, 160
사타, 40, 185
아파, 45, 160
타다, 84, 194
바파, 54, 156
가사, 78, 143
나파, 81, 162
마사, 62, 164
아마, 86, 165
아마, 93, 155
타마, 67, 163
라다, 48, 158
아사, 69, 182
차아, 75, 186
타라, 58, 189
마라, 68, 194
아아, 93, 198
아파, 50, 173
자사, 58, 169
카아, 43, 160
가차, 90, 168
아카, 91, 157
자바, 76, 141
파바, 69, 191
가나, 45, 177
차카, 56, 159
타아, 51, 191
나차, 69, 147
라바, 58, 143
차타, 92, 147
카차, 88, 199
카차, 70, 181
나파, 99, 180
파차, 72, 157
아다, 48, 141
차라, 72, 160
마나, 49, 190
나바, 58, 168
아바, 70, 143
파타, 68, 186
파자, 41, 187
라하, 86, 187
카파, 73, 165
아타, 83, 169
타라, 99, 149
자바, 90, 183
하다, 93, 173
자마, 96, 170
사나, 56, 149
아타, 75, 182
사자, 99, 154
나라, 68, 155
자하, 85, 153
나바, 81, 180
나파, 90, 164
나차, 82, 190
타라, 65, 181
마마, 42, 195
나카, 77, 180
사하, 93, 148
나라, 88, 198
카자, 62, 155
나가, 70, 163
나나, 76, 162
하파, 45, 150
아다, 61, 198
다나, 50, 188
가사, 77, 163
라하, 42, 199
가자, 87, 166
가파, 80, 170
나카, 53, 143
자타, 47, 148
하다, 44, 185
가사, 74, 151
라마, 40, 173
사자, 41, 191
사사, 97, 144
나마, 73, 151
다라, 48, 170
하가, 80, 153
나아, 89, 159
파파, 49, 191
카라, 78, 199
하차, 99, 195
가사, 72, 162
가라, 93, 146
차마, 92, 190
나차, 88, 190
마타, 67, 186
마타, 78, 142
가차, 89, 185
사나, 41, 189
자카, 90, 195
하자, 97, 198
자다, 95, 155
하다, 48, 145
다아, 63, 191
가아, 51, 159
아자, 58, 180
라나, 70, 170
아사, 51, 195
하사, 98, 155
파하, 80, 159
다자, 43, 165
라차, 66, 175
하자, 71, 170
라타, 56, 147
마가, 87, 173
파다, 55, 166
자사, 58, 184
라가, 65, 186
라파, 64, 189
아바, 88, 155
타하, 50, 141
자다, 50, 190
다파, 83, 155
차다, 86, 174
마하, 48, 168
마가, 69, 199
나카, 42, 170
아아, 80, 183
마파, 54, 166
하가, 84, 162
다자, 46, 143
사아, 81, 142
라자, 77, 183
사하, 92, 183
사다, 42, 167
하마, 72, 159
바가, 97, 180
파아, 76, 152
마아, 99, 197
바다, 94, 159
가나, 43, 140
하사, 49, 155
파차, 70, 151
나파, 55, 178
사차, 51, 166
나아, 49, 187
카아, 80, 191
아파, 85, 193
하카, 42, 174
라사, 70, 172
파파, 58, 140
차차, 80, 192
타파, 71, 161
바바, 69, 142
라사, 74, 140
차파, 41, 156
파타, 61, 165
라바, 97, 195
나라, 72, 194
바차, 78, 168
타마, 87, 193
가아, 94, 196
하하, 82, 196
하바, 97, 168
바가, 99, 191
파다, 58, 156
카자, 42, 174
마타, 94, 182
하다, 82, 188
카바, 70, 184
마바, 67, 186
라사, 94, 156
자자, 52, 150
바자, 41, 171
바카, 49, 190
사타, 40, 183
다다, 90, 194
마사, 57, 182
라나, 99, 158
마아, 52, 152
타나, 65, 142
마차, 68, 197
하하, 79, 191
사아, 74, 168
아사, 70, 141
하아, 82, 173
사가, 80, 162
바다, 65, 147
카파, 56, 146
차다, 69, 144
하다, 96, 185
타하, 52, 158
아마, 41, 160
라차, 45, 158
하바, 69, 171
차차, 97, 180
자차, 56, 172
파바, 99, 164
사나, 47, 184
자바, 86, 193
가라, 99, 175
하하, 79, 185
사자, 84, 188
바마, 62, 195
아다, 58, 156
사나, 47, 157
다하, 89, 148
마타, 66, 182
하타, 56, 161
아사, 42, 193
아파, 92, 170
사하, 76, 156
다사, 85, 152
마카, 53, 163
차자, 57, 190
자사, 75, 142
사사, 78, 168
마라, 95, 161
자다, 51, 155
하라, 81, 183
마아, 86, 175
사가, 80, 167
카차, 63, 148
나마, 72, 165
바라, 91, 153
라파, 77, 191
자다, 48, 187
라라, 60, 166
가하, 76, 145
다하, 84, 165
나나, 64, 180
다자, 63, 158
아하, 58, 167
가바, 61, 140
바아, 57, 178
아카, 54, 142
차사, 69, 160
나다, 87, 157
라타, 57, 176
가하, 75, 199
마차, 91, 140
카카, 62, 197
차하, 46, 180
타하, 44, 140
사타, 92, 189
하나, 87, 143
카하, 92, 155
사나, 58, 170
차가, 93, 143
카차, 81, 191
사아, 73, 172
나가, 72, 153
가가, 56, 161
마다, 60, 141
라자, 51, 190
마바, 60, 164
가사, 91, 184
타마, 58, 175
다자, 87, 171
마나, 79, 144
파가, 64, 166
다사, 89, 173
가파, 50, 144
차타, 48, 179
아가, 42, 195
자타, 41, 189
다사, 79, 199
아바, 64, 198
바바, 93, 152
아라, 53, 149
자자, 68, 142
차라, 43, 193
라자, 65, 177
아파, 73, 177
하타, 61, 175
카바, 86, 168
다파, 53, 189
가아, 97, 142
바다, 64, 197
다하, 59, 160
다파, 88, 164
아바, 91, 198
다다, 85, 151
차마, 73, 148
나가, 68, 169
하아, 71, 155
파가, 96, 159
나차, 66, 171
다차, 97, 197
자하, 52, 148
나가, 62, 153
사다, 78, 174
차바, 61, 198
파차, 74, 188
다마, 65, 178
다파, 57, 152
라하, 59, 144
타나, 68, 174
아차, 92, 141
바나, 76, 157
마타, 55, 175
가라, 50, 168
라하, 89, 145
나다, 75, 156
타아, 78, 191
가사, 42, 163
가나, 66, 145
바바, 88, 178
카라, 72, 154
다카, 66, 178
카마, 72, 188
라카, 42, 149
다하, 87, 158
자타, 86, 186
가하, 50, 146
사자, 89, 192
타라, 72, 145
바자, 57, 188
다파, 73, 196
아하, 74, 184
자아, 40, 150
마마, 55, 189
나카, 84, 152
바마, 97, 145
차자, 43, 198
카마, 54, 186
나차, 50, 197
자마, 48, 160
하타, 40, 184
라하, 72, 142
타가, 81, 190
자자, 47, 171
라나, 94, 161
라다, 67, 190
카바, 44, 141
가나, 49, 183
파차, 73, 199
다타, 51, 161
라아, 65, 146
나하, 57, 161
차다, 42, 145
카마, 67, 181
바나, 98, 166
사아, 78, 148
나마, 74, 165
타카, 68, 159
가자, 73, 192
바사, 69, 156
아파, 98, 194
차다, 76, 158
마차, 90, 177
파사, 81, 158
바바, 62, 195
파라, 68, 151
마자, 96, 197
바아, 74, 171
타자, 43, 142
카마, 95, 175
타타, 43, 144
카가, 67, 170
사카, 83, 199
자가, 85, 198
차바, 40, 191
차타, 94, 199
자사, 91, 192
자아, 76, 150
사차, 73, 189
마타, 66, 168
타라, 52, 182
파차, 51, 192
라나, 97, 176
하차, 83, 141
나카, 80, 152
라바, 84, 180
다카, 67, 168
다카, 40, 184
다바, 70, 141
아가, 75, 168
파카, 62, 192
나사, 88, 190
나카, 75, 181
타마, 74, 183
타카, 81, 155
파자, 96, 173
파타, 66, 196
바사, 98, 160
파차, 94, 195
하아, 55, 172
아라, 78, 159
다자, 77, 163
파타, 46, 169
타카, 61, 144
바아, 83, 168
사가, 79, 147
차나, 84, 140
마차, 85, 147
카자, 41, 149
아타, 57, 157
아아, 58, 156
차자, 88, 177
차라, 72, 178
하나, 73, 182
바바, 46, 146
나타, 71, 162
카카, 46, 168
하라, 70, 176
자사, 60, 184
아타, 59, 190
카자, 88, 188
타다, 46, 163
차아, 70, 143
차차, 82, 183
사자, 99, 184
하타, 78, 162
나라, 55, 161
차파, 56, 184
타라, 83, 150
마가, 79, 166
라다, 78, 156
자다, 43, 181
차아, 81, 144
타다, 86, 169
사타, 67, 165
라마, 93, 198
하자, 57, 168
사가, 97, 152
다타, 93, 176
다하, 97, 188
다차, 84, 170
카파, 98, 185
나파, 49, 186
차가, 81, 165
나타, 77, 141
타타, 41, 158
라가, 53, 142
라나, 83, 147
라타, 62, 188
바카, 63, 163
다다, 99, 181
하하, 47, 142
차차, 54, 154
하라, 50, 145
마하, 50, 168
자라, 75, 157
마아, 54, 196
마차, 84, 162
마나, 56, 188
사다, 81, 199
파차, 45, 186
가하, 53, 172
카라, 51, 151
자라, 83, 166
나다, 53, 191
다자, 68, 153
라아, 83, 177
가라, 55, 194
차자, 78, 199
나가, 91, 147
다다, 64, 191
하카, 99, 158
사차, 93, 196
마파, 67, 151
나자, 79, 168
가라, 53, 154
마자, 41, 166
파하, 52, 186
차사, 49, 186
바다, 91, 174
사자, 73, 181
사라, 49, 168
파타, 58, 175
가마, 76, 150
카가, 89, 188
라하, 95, 177
파사, 77, 148
타하, 79, 190
타나, 70, 194
다라, 90, 148
카타, 47, 172
파다, 48, 170
아라, 97, 172
바하, 96, 152
가다, 64, 145
자아, 81, 198
카차, 49, 199
하나, 72, 198
사차, 72, 188
가라, 91, 196
타타, 67, 168
아마, 55, 162
가사, 67, 179
파자, 78, 184
마바, 70, 181
차차, 89, 186
라타, 98, 161
하차, 99, 150
가아, 81, 195
카하, 77, 149
가자, 69, 179
파다, 70, 187
타하, 97, 192
카차, 45, 192
아마, 98, 143
아카, 62, 149
가아, 55, 187
타카, 96, 177
아자, 89, 198
마차, 99, 166
다다, 83, 155
사파, 83, 197
타타, 58, 140
카차, 94, 147
아나, 78, 187
사차, 69, 190
라가, 59, 157
자하, 54, 147
가파, 73, 153
마마, 47, 153
가나, 88, 145
카라, 40, 145
파아, 99, 183
자파, 60, 187
카라, 81, 190
아자, 61, 153
다아, 74, 143
마하, 67, 193
사타, 82, 165
카바, 89, 169
아차, 60, 197
파나, 90, 149
라가, 60, 156
나가, 83, 142
바하, 56, 178
파카, 88, 146
나카, 97, 143
다아, 78, 165
하다, 77, 169
차다, 84, 165
바카, 53, 183
가하, 59, 152
바차, 99, 153
바파, 53, 176
마라, 80, 179
아다, 60, 143
아카, 42, 189
라가, 58, 192
라아, 75, 190
자카, 59, 145
나파, 98, 167
바사, 91, 150
아마, 55, 185
아사, 50, 196
자하, 92, 140
나바, 72, 187
나라, 61, 195
사바, 49, 152
차나, 74, 163
자아, 59, 145
사차, 42, 177
사사, 82, 160
다타, 52, 197
차자, 58, 150
아다, 87, 182
라차, 50, 153
사라, 48, 167
가다, 70, 180
파마, 89, 146
하라, 40, 180
아하, 51, 152
사아, 96, 198
마아, 78, 170
아카, 51, 175
아아, 70, 141
파파, 61, 150
가나, 43, 174
다사, 76, 141
카파, 97, 166
마사, 43, 146
카마, 73, 150
파나, 49, 190
바사, 81, 149
가나, 95, 196
사차, 66, 141
타아, 63, 178
차카, 63, 197
파바, 84, 184
아다, 82, 151
차사, 49, 191
가나, 85, 171
라파, 83, 161
차타, 93, 171
마카, 60, 143
다나, 70, 170
아마, 93, 158
가자, 82, 180
하다, 88, 152
카아, 73, 144
자가, 87, 192
